Column1,Average population[86],Live  births[87],Deaths,Natural change,Crude  birth rate  (per 1000),Crude  death rate  (per 1000),Natural change  (per 1000),Total Fertility Rate[fn 2][36][62]
2003,59636700,695549,612085,83464,11.7,10.3,1.4,1.7
2004,59950400,715996,584791,131205,11.9,9.8,2.2,1.77
2005,60413300,722549,582964,139585,12,9.6,2.3,1.76
2006,60827100,748563,572224,176339,12.3,9.4,2.9,1.82
2007,61319100,772245,574687,197558,12.6,9.4,3.2,1.87
2008,61823800,794383,579697,214686,12.8,9.4,3.5,1.96
2009,62260500,790204,559617,230587,12.7,9,3.7,1.89
2010,62759500,807721,561666,246055,12.9,8.9,3.9,1.92
2011,63285100,807776,552232,255544,12.8,8.7,4,1.91
2012,63705000,812970,569024,243946,12.8,8.9,3.8,1.92
2013,64105700,778803,575458,203345,12.1,9,3.2,1.83
2014,64596800,776352,570341,206011,12,8.8,3.2,1.82
2015,65110000,777165,602782,174383,11.9,9.3,2.7,1.8
2016,65648100,774835,595659,179176,11.8,9.1,2.7,1.79
2017,66040200,755066,607172,147894,11.4,9.2,2.2,1.74
2018,66435600,731213,616014,115199,11,9.3,1.7,1.68
2019,66796800,712699,604707,107992,10.7,9.1,1.6,1.63
2020,67081234,683181,688086,-4905,10.2,10.3,-0.1,1.56
2021,,694676,666491,28185,10.3,9.9,0.4,1.62
